date_course;course;currency_id
25.11.2021;74,3726;2
24.11.2021;74,8327;2
23.11.2021;73,4506;2
20.11.2021;72,7617;2
19.11.2021;72,6022;2
18.11.2021;72,8228;2
17.11.2021;72,5553;2
16.11.2021;72,2724;2
13.11.2021;71,8118;2
12.11.2021;71,1964;2
11.11.2021;70,6950;2
10.11.2021;71,2866;2
09.11.2021;71,3975;2
04.11.2021;71,4876;2
03.11.2021;71,4783;2
02.11.2021;71,0863;2
30.10.2021;70,5200;2
29.10.2021;70,5207;2
28.10.2021;69,8104;2
27.10.2021;69,5526;2
26.10.2021;70,1345;2
23.10.2021;70,8623;2
22.10.2021;70,9904;2
21.10.2021;71,0555;2
20.10.2021;70,9674;2
19.10.2021;71,1714;2
16.10.2021;71,2371;2
15.10.2021;71,7846;2
14.10.2021;71,8577;2
13.10.2021;71,8801;2
12.10.2021;71,6373;2
09.10.2021;71,9882;2
08.10.2021;72,2854;2
07.10.2021;72,5682;2
06.10.2021;72,5686;2
05.10.2021;72,9239;2
02.10.2021;72,9215;2
01.10.2021;72,6642;2
30.09.2021;72,7608;2
29.09.2021;72,5083;2
28.09.2021;72,6613;2
25.09.2021;73,0081;2
24.09.2021;72,7245;2
23.09.2021;72,8806;2
22.09.2021;73,2067;2
21.09.2021;73,3315;2
18.09.2021;72,5602;2
17.09.2021;72,4329;2
16.09.2021;72,8520;2
15.09.2021;72,7171;2
14.09.2021;73,0841;2
11.09.2021;72,7600;2
10.09.2021;73,1290;2
09.09.2021;73,4421;2
08.09.2021;73,1909;2
07.09.2021;72,9538;2
04.09.2021;72,8545;2
03.09.2021;72,8491;2
02.09.2021;73,1912;2
01.09.2021;73,2781;2
15.09.2022;59,8368;3
14.09.2022;60,9364;3
13.09.2022;61,3127;3
10.09.2022;60,8571;3
09.09.2022;60,6952;3
08.09.2022;60,5458;3
07.09.2022;60,4929;3
06.09.2022;60,1408;3
03.09.2022;60,2187;3
02.09.2022;60,2842;3
01.09.2022;60,2141;3
31.08.2022;60,5752;3
30.08.2022;59,9608;3
27.08.2022;59,8784;3
26.08.2022;59,5983;3
25.08.2022;59,5082;3
24.08.2022;59,3304;3
23.08.2022;59,5344;3
20.08.2022;59,3934;3
19.08.2022;60,8957;3
18.08.2022;61,8322;3
17.08.2022;62,3551;3
16.08.2022;62,5056;3
13.08.2022;62,5355;3
12.08.2022;62,5156;3
11.08.2022;61,7040;3
10.08.2022;61,5542;3
09.08.2022;61,1615;3
06.08.2022;61,3610;3
05.08.2022;61,0872;3
04.08.2022;61,1243;3
03.08.2022;61,2656;3
02.08.2022;63,2468;3
30.07.2022;62,5695;3
29.07.2022;61,2171;3
28.07.2022;61,0032;3
27.07.2022;59,4068;3
26.07.2022;58,6741;3
23.07.2022;57,7608;3
22.07.2022;57,1133;3
21.07.2022;55,8260;3
20.07.2022;56,4463;3
19.07.2022;57,1526;3
16.07.2022;57,8851;3
15.07.2022;58,3432;3
14.07.2022;58,9002;3
13.07.2022;58,7643;3
12.07.2022;61,8056;3
09.07.2022;62,0499;3
08.07.2022;64,1349;3
07.07.2022;64,3260;3
06.07.2022;60,1618;3
05.07.2022;57,1836;3
02.07.2022;56,3584;3
01.07.2022;54,6405;3
30.06.2022;53,8580;3
29.06.2022;55,8886;3
28.06.2022;56,0535;3
25.06.2022;55,9640;3
24.06.2022;55,9886;3
23.06.2022;55,8307;3
22.06.2022;57,4566;3
21.06.2022;58,8003;3
18.06.2022;59,3299;3
17.06.2022;58,9568;3
16.06.2022;59,1204;3
15.06.2022;59,2481;3
11.06.2022;60,9656;3
10.06.2022;62,0934;3
09.06.2022;63,9380;3
08.06.2022;64,5699;3
07.06.2022;64,8669;3
04.06.2022;65,9191;3
03.06.2022;64,9053;3
02.06.2022;63,6629;3
01.06.2022;62,7397;3
31.05.2022;64,7170;3
28.05.2022;69,4353;3
27.05.2022;64,4392;3
26.05.2022;57,9210;3
25.05.2022;58,8705;3
24.05.2022;60,3851;3
21.05.2022;60,8953;3
20.05.2022;64,9358;3
19.05.2022;66,6135;3
18.05.2022;66,3644;3
17.05.2022;65,8166;3
14.05.2022;65,7939;3
13.05.2022;68,7835;3
12.05.2022;72,6314;3
07.05.2022;71,0963;3
06.05.2022;70,0662;3
05.05.2022;72,7815;3
30.04.2022;74,5589;3
29.04.2022;75,3117;3
28.04.2022;75,9224;3
27.04.2022;76,6670;3
26.04.2022;77,4651;3
23.04.2022;80,0249;3
22.04.2022;81,2239;3
21.04.2022;83,2705;3
20.04.2022;85,9674;3
19.04.2022;86,4289;3
16.04.2022;87,0715;3
15.04.2022;88,0024;3
14.04.2022;86,7219;3
13.04.2022;86,7939;3
12.04.2022;85,9752;3
09.04.2022;81,7064;3
08.04.2022;83,2930;3
07.04.2022;90,5998;3
06.04.2022;91,7289;3
05.04.2022;92,3872;3
02.04.2022;92,1468;3
01.04.2022;92,4930;3
31.03.2022;93,6960;3
30.03.2022;96,0085;3
29.03.2022;102,6714;3
26.03.2022;105,2662;3
25.03.2022;105,4679;3
24.03.2022;113,2613;3
23.03.2022;114,7833;3
22.03.2022;115,6002;3
19.03.2022;114,3996;3
18.03.2022;115,9311;3
17.03.2022;118,7601;3
16.03.2022;122,4522;3
15.03.2022;127,2343;3
12.03.2022;128,9523;3
11.03.2022;132,9581;3
10.03.2022;126,4395;3
06.03.2022;115,6212;3
